id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
4512,Pellegrino,Tomeoni,,,,"Lucca,Italy","Organist, composer, father of Florido.",,
4513,Thomas,Tomkins,,,"St,Wales",,Recorded as buried on 9 June 1656.,,
4514,Ernest,Tomlinson <small>(Alan Perry)</small>,1924-09-19,,"Rawenstall,England",,"Founder of the Light  Orchestral Music Society, responsible for the rescue and collection of many pieces of music. They are stored (over 20000 of them) in a barn near his farmhouse at Longridge (Lancashire)",,
4515,Ruud,Top,1948-06-12,,"De,The Netherlands",,,,
4516,Rafael,Toral,,,"Lisbon,Portugal",,,,
4517,Giuseppe,Torelli,1658-04-22,1709-02-08,"Verona,Italy","Bologna,Italy","Composer and violinist. Probably pupil of Perti in Bologna. Played there in the orchestra of San Petronio (1686-1696). Then went to Vienna, where he was concertmeister at the court of the Margrave of Brandenburg (1697-1699). Returned to Bologna in 1701. With Corelli one of the most important composers in history of early concerto.",,
4518,Michael,Torke,,,,,,,
4519,Veljo,Tormis,1930-08-07,,"Kuusalu,Estonia",,,,
4520,Hernãni,Torres,,,Portugal,Portugal,,,
4521,Federico,Moreno Torroba,1891-03-03,1982-09-12,"Madrid,Spain","Madrid,Spain",,,
4522,Klas,Torstensson,1951-01-16,,"Nässjö,Sweden",,,,
4523,Paolo,Tortiglione,,,"Napoli,Italy",,,,
4524,Vladimir,Tošić,1949-04-10,,"Beograd,Yugoslavia",,,,
4525,Francesco,Paoli Tosti,1846-04-09,1916-12-02,"Ortona,Italy","Roma,Italy",,,
4526,Charles,Tournemire,1870-01-22,1939-11-04,"Bordeaux,France","Arcachon,France",Tournemire was one of the last pupils of César Franck. He was organist of the basilica of Sainte-Clothilde from 1898 until his death in 1939. His pupils include Maurice Duruflé and Jean Langlais.,,
4527,Rene,Touzet,1916-09-08,2003-06-15,"Havana,Cuba","Miami,FL,USA",,,
4528,Donald,Francis Tovey,1875-07-17,1940-07-10,"Eton,England","Edinburgh,Scotland",,,
4529,Joan,Tower,1938-09-06,,USA,,"Joan Tower is one of today’s most interesting, colorful, and dynamic American composers. She has been the pianist for the DaCapo Chamber Players from 1969 to 1984. She has been closely associated with the St. Louis Symphony Orchestra and Leonard Slatkin for whom several works were commisioned. She is currently Asher Edelman Professor of Music at Bard College where she has taught since 1972.",,
4530,Giovanni,Maria Trabaci,,1647-12-31,,"Monte,Italy",Trabaci was an organist and composer. He was appointed organist at the Royal Chapel in 1603 in Milan. In 1614 he became Maestro di Cappella.,,
4531,Tommaso,Traetta,1727-03-30,1779-04-06,"Bitonto,Italy","Venezia,Italy",,,
4532,Juraj,"[Jiří, Jiřik, Georg] Tranovský <small>(Třanovský)</small>",1592-04-09,1637-05-29,"Těšín,Czech Republic","Liptovský,Czech Republic",,,
4533,Joseph,Trapanese,,,"Jersey,USA",,,,
4534,Giuseppe,Tricarico,1623-06-25,1697-11-14,"Gallipoli,,Italy","Gallipoli,Italy",,,
4535,Jean-Balthasar,Tricklir,,1813-11-29,"Dijion,France","Dresden,Germany",,,
4536,Simon,Trico,,1757-01-09,,"Maastricht,The Netherlands","The Belgian/Dutch composer Simon Trico was also a singer and a priest. From 1709 till 1751 he is member of the chapter of the Onze-Lieve-Vrouwe church in Maastricht, The Netherlands. From 1726 he was cantor there. The library of that church now contains antiphones, hymns, vespers and one Te Deum from him, unfortunately none complete.",,
4537,Josef,Triebensee <small>(Trübensee)</small>,1772-11-21,1846-04-22,"Wittingau,Czech Republic","Prague,Czech Republic",,,
4538,Juan,Trigos,1965-02-26,,"Mexico,Mexico",,,,
4539,Athanasios,Trikoupis,1969-03-31,,"Alex/Polis,Greece",,,,
4540,Joan,Trimble,1915-06-18,2000-08-06,"Enniskillen,Ireland","Enniskillen,Ireland",,,
4541,Gerardo,Tristano,1955-07-01,,"Cesinali,Italy",,"Gerardo tristano was born at Cesinali (AV, Italy) on first july 1955. He is a composer and teacher of composition, instrumentation and orchestration. Besides that he is a graduate in Philosophy. At present he is working for VIDEORADIO recording studio in Milano. After a period in which he wrote many chamber music pieces, he is now interested in developping his personal way of musical writing. He is writing for Ensemble Artifex and other artists (soloists, singers and groups). His CD “TRISTANO” is for sale, available on the most important commercial web sites.",,
4542,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
4543,Johann,George Tromlitz,1725-11-08,1805-02-04,"Reinsdorf,Germany","Leipzig,Germany",,,
4544,Bartolomeo,Trosylho,,,,,,,
4545,Stephen,Truelove,1946-09-26,,"Hobart,,USA",,,,
4546,Balz,Trümpy,1946-08-04,,"Basel,Switzerland",,"Trümpy was born in Basel and spent his childhood in Glarus. His musical education took place at Basel Conservatory: Piano (Rolf Maeser, Paul Baumgartner), music theory (Jacques Wildberger, Robert Suter), and composition (Gerald Bennett). He also studied composition with Luciano Berio in Rome, during which time he became Berio’s assistant. He has spent several stretches at IRCAM in Paris. He won the Basel Lions Club Arts Prize in 1977. Since 1979 he has taught composition and music theory at Basel Conservatory. From 1982 to 1987 he was also deputy director of this conservatory. He lives in Nuglar, near Basel.",,
4547,Harold,Truscott,1914-08-23,1992-10-07,"Seven,United Kingdom","Deal,,United Kingdom",,,
4548,Eldad,Tsabary,1969-11-29,,"Petach,Israel",,,,
4549,Hristo,Tsanoff,1947-01-07,,"Sofia,Bulgaria",,,,
4550,Stefanos,Tsatalbassis,1967-05-06,,"Athens,Greece",,,,
4551,Sulkhan,Tsintsadze <small>(სულხან ცინცაძე)</small>,1925-08-23,1991-09-15,"Gori,Georgia","Tblisi,Georgia",,,
4552,George,Tsontakis,1951-10-24,,USA,,,,
4553,Eduard,Tubin,1905-06-18,1982-11-17,"Kallaste,Estonia","Stockholm,Sweden",,,
4554,David,Tudor,1926-01-20,1996-08-13,USA,USA,,,
4555,Fisher,Tull,1934-09-09,1994-08-23,"Waco,,USA","Huntsville,,USA",,,
4556,František,"Ignác Antonín Tůma <small>(Tuma, Thuma)</small>",1704-10-02,1774-01-30,"Kostelec,Czech Republic","Wien,Austria",,,
4557,Franz,Tunder,,,Germany,Germany,,,
4558,Joaquín,Turina,1882-12-09,1949-01-14,"Sevilla,Spain","Madrid,Spain",,,
4559,Daniel,Gottlob Türk,1750-08-10,1813-08-26,"Claussnitz,Germany","Halle,Germany",,,
4560,Marc,Anthony Turnage,1960-06-10,,England,,,,
4561,Joseph,Turrin,,,USA,,,,
4562,Georgi,Tutev,1924-08-23,1994-09-13,"Sofia,Bulgaria","Sofia,Bulgaria","Tutev was born of a Bulgarian father and German mother. He was raised in Germany; his father was secretary at the Bulgarian consulate in Dusseldorf. Tutev studied law at Sofia University while taking private music lessons with the eminent Bulgarian composer Lubomir Pipkov. In 1946, Tutev went to the Moscow State Conservatory to study composition under Victor Bely and Yuri Shaporin. His first symphonic work, Tale of the Lopian Forest was premiered in 1951. When Tutev returned to Bulgaria 1950 and from 1954 to 1958 was secretary of the Bulgarian Composers Union. From 1958 to 1961 the chief music editor at the Bulgarian National Radio and from 1961 to 1987 he was music director and principal conductor of the Orchestra of the National Youth Theatre. Tutev is the author of orchestral and chamber music, piano music, songs, poetry, film and theater music. Among his key works are the First Symphony (1960), Overture-Requiem in memory of the fallen in the fight against fascism (1962), Metamorphoses for 13 strings (1966), the Second Symphony which was performed in 1974 by the Warsaw Philharmonic under Konstantin Iliev, Yearning for the Lost Harmony for strings, keyboard instruments, and percussion (1979-1982) et al. Georgi Tutev is the founder and the first president of the Society for Contemporary Music in Bulgaria from 1990 till his death in 1994. He is the originator and organizer of the Musica Nova Festival.",,
4563,Erkki,Sven Tüür,1959-10-16,,"Kardla,Estonia",,,,
4564,Geirr,Tveitt,1908-10-19,1981-02-01,"Bergen,Norway","Norheimsund,Norway",,,
4565,Romuals,Twardowski,1930-06-17,,"Vilnius,Lithuania",,,,
4566,Gerald,Hugh Tyrwhitt-Wilson <small>(Lord Berners)</small>,1883-09-18,1950-04-19,"Apley,England","Faringdon,England","Gerald Tyrwhitt, the 14th Baron Berners, was not only a British composer, but also a novelist, painter, and aesthete. He is usually referred to as “Lord Berners”.",,
4567,Gerard,van Turnhout,,1580-09-15,,"Madrid,,Spain",,,
4568,Hendrika,van Tussenbroek,1854-12-02,1935-06-21,"Utrecht,The Netherlands","Doorn,The Netherlands",,,
4569,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
4570,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
4571,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
4572,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
4573,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
4574,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
4575,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
4576,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
4577,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
4578,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
4579,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
4580,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
4581,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
4582,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
4583,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
4584,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
4585,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
4586,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
4587,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
4588,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
4589,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
4590,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
4591,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
4592,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
4593,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
4594,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
4595,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
4596,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
4597,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
4598,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
4599,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
4600,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
4601,Ernst,(Ernest) II Herzog von Sachsen-Coburg und Gotha <small>(Duke of Saxe-Coburg and Gotha)</small>,1818-06-21,1893-08-22,"Coburg,Germany","Reinhardsbrunn,Germany",,,
4602,Jason,Uechi,,,"Hawaii,USA",,,,
4603,Ernst,Ueckermann,,,"Estcourt,South Africa",,"Pianist and composer Ernst Ueckermann’s formal music studies were conducted at the Johannesburg Art School, Royal College and Royal Academy of Music in London, Musikhochschulen Wuerzburg and Freiburg Germany, with Professors Kirsti Hjort, Bertold Hummel and Helmut Barth.",,
4604,Floro,Meliton Ugarte,1884-09-15,1975-06-11,"Buenos,Argentina","Buenos,Argentina",President of National Music Commission.,,
4605,Viktor,Ullmann,1898-01-01,1944-10-17,"Prague,Czechoslovakia","Auschwitz,Poland",,,
4606,Kubilay,Üner,1965-01-31,,"Munich,Germany",,,,
4607,Chinary,Ung,,,"Takeo,Cambodia",,,,
4608,Hermann,Unger,1886-10-26,1958-12-31,"Kamenz,,Germany","Köln,Germany","Hermann Unger was a student of Max Reger, whose compositions he promoted. He also was a teacher at the Cologne conservatory for over 30 years.",,
4609,Kevin,Ure,1978-04-04,,"California,USA",,,,
4610,Guillermo,Uribe-Holguín,1880-03-17,1971-06-26,"Bogotá,Colombia","Bogotá,Colombia",,,
4611,Vladislav,Aleksandrovich Uspensky,1937-09-07,,"Omsk,Russia",,,,
4612,Vladimir,Ussachevsky,1911-11-03,1990-01-02,"Hailar,,China","New,USA",,,
4613,Galina,Ivanovna Ustvolskaya,1919-06-17,2006-12-22,"St.,Russia","St.,Russia","Even though Galina Ustvolskaya was a famous composer, she has lived a very solitary most of the time. She studied under Shostakovich (who was very impressed by her) at the Saint Petersburg conservatory, and from 1947 to 1975 she also taught at the same conservatory. She seldomly travelled abroad.",,
4614,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
4615,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
4616,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
4617,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
4618,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
4619,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
4620,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
4621,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
4622,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
4623,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
4624,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
4625,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
4626,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
4627,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
4628,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
4629,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
4630,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
4631,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
4632,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
4633,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
4634,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
4635,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
4636,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
4637,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
4638,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
4639,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
4640,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
4641,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
4642,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
4643,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
4644,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
4645,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
4646,Karel,Albert <small>(Victors)</small>,1901-04-16,1987-10-04,"Antwerpen,Belgium","Liedekerke,Belgium",,,
4647,Enrico,(Heinrich) Albicastro <small>(Weissenburg von Biswang)</small>,,,,,,,
4648,Jorge,Croner de Vasconcellos,,,Portugal,"Lisboa,Portugal",,,
4649,Ivo,de Vento,,,,"Munich,Bavaria, major duchy in southern Germany","Ivo de Vento is a Flemish Polyphony composer of the 5th generation (championed by Orlandus Lassus), probably of Low Countries descent, presumably recruited in Antwerp in 1556 as boy chorister accompanying Lassus to Munich. In 1560 he studied music with Claudio Merulo in Venice; after his return as organist in Munich in 1564, he became ducal Kapellmeister at Landshut to Wilhelm of Bavaria in 1568, and was finally appointed court organist (however writing mainly vocal music) at Munich in 1569, under Lassus, till his own death there in 1575.",,
4650,Tomás,Luis de Victoria,,1611-08-20,,"Madrid,Spain",,,
4651,Philippe,de Vitry,1291-10-31,1361-06-09,"Paris,France","Paris,France",,,
4652,Sebastián,de Vivanco,,,,,,,
4653,Klaas,de Vries,1944-07-15,,"Terneuzen,The Netherlands",,,,
4654,Karl,Ditters von Dittersdorf,1739-11-02,1799-10-24,"Wien,Austria","Neuhof,Austria",,,
4655,Mateo,Flecha (el Viejo),,,"Prades,Spain","Poblet,Spain",,,
4656,Frauenlob,<small>(Heinrich von Meissen)</small>,,1318-11-29,,"Mainz,Germany",,,
4657,Theodor,Freiherr von Schacht,,1823-06-20,"Strassburg,Germany","Regensburg,Germany","It seems that the precise date of  Theodor Freiherr von Schacht’s birth is unknown to us. Of noble birth and having a title of Baron, he studied in Stuttgart and Wetzlar. After completing his studies he finds himself attached to the Court of Prince Thurn-und-Taxis in Regensburg as a courtier. There he was appointed in 1773 the Music Director to the court and was instructed with the construction and establishing of an Italian opera. In 1790 he was made a member of the princely Privy Council and was awarded in 1796 for his services around the court music with pay of an honorary lifetime pension.",,
4658,Alvaro,Guevara y Vazquez,1962-04-20,,"Nogales,,Mexico",,"Alvaro Guevara y Vazquez was born in Nogales, Sonora, Mexico to a family of intellectuals, artists and merchants. He is mainly an autodidact with respects to music, but studied piano with Ruth van Birkhoff of Boston, Massachusetts, U.S.A., and Professor Jesus Alvarado, a student of an American pupil of russian composer, Sergei Rachmaninoff. His many interests are not limted to music, but range from the study of Judeo/Christian religion, world and European history, political science, culinary arts and philosophy, Friedrich Nietzsche being his mentor.",,
4659,Ernst,(Ernest) II Herzog von Sachsen-Coburg und Gotha <small>(Duke of Saxe-Coburg and Gotha)</small>,1818-06-21,1893-08-22,"Coburg,Germany","Reinhardsbrunn,Germany",,,
4660,Héctor,Iglesias Villoud,,,"San,Argentina",,,,
4661,Sigismund,Neukomm <small>(Ritter von Neukomm)</small>,1778-07-10,1858-04-03,"Salzburg,Austria","Paris,France",,,
4662,Franz,Xaver Schnyder von Wartensee,1786-04-18,1868-08-27,"Luzern,Switzerland","Frankfurt,Germany",,,
4663,Jacob,ter Veldhuis,1951-11-14,,"Scheemda,The Netherlands",,,,
4664,Jussi,Vaarala,1954-05-07,,"Kemijärvi,Finland",,,,
4665,Jacobus,Vaet,,1567-01-08,,"Vienna,Austria",,,
4666,Jiří,Válek,1923-05-28,2005-10-06,"Praha,Czech Republic","Praha,Czech Republic",,,
4667,Fartein,Olav Valen,1887-08-25,1952-12-14,"Stavanger,Norway","Valevåg,Norway","Fartein Olav Valen was the son of a missionary. He lived on Madagascar in his early childhood, his health being permanently set back by Malaria. He studied organ and composition in Oslo, later in Berlin but his shy nature kept him at home, Valestrand on the west coast of Norway, and recognition came late. Internationally Valen is almost forgotten, but enjoys high recognition in Norway as the first and groundbraking modernist.",,
4668,Antonio,Valente,,,,,Active in Naples. Blind from his youth. Organist at San Angelo a Nilo from 1565 till 1580.,,
4669,Cesare,Valentini,1967-02-03,,"Palermo,Italy",,Born in Sicily he went around Italy for many years. From his 20th year he lived in Florence.,,
4670,Andrés,Valero-Castells,1973-03-01,,"Valencia,Spain",,"Andrés Valero-Castells is a composer, conductor, and teacher of composition (at the Conservatorio Superior “J. Rodrigo” de Valencia).",,
4671,Reza,Vali,,,"Ghazvin,Iran",,,,
4672,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
4673,Nicolas,Vallet,,,"Amsterdam,The Netherlands",,,,
4674,Francisco,Valls <small>(Valls y Galan)</small>,,1747-02-02,"Barcelona,Spain","Barcelona,Spain",,,
4675,Peter,van Anrooy,1879-10-13,1954-12-31,"Zaltbommel,The Netherlands","Den,The Netherlands",,,
4676,Kees,van Baaren,1906-10-22,1970-09-02,"Enschede,The Netherlands","Oegstgeest,The Netherlands",,,
4677,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
4678,Jacquet,van Berchem,,,,,,,
4679,Johannes,Bernardus van Bree,1801-01-29,1857-02-14,"Amsterdam,The Netherlands","Amsterdam,The Netherlands",,,
4680,Alexander,van Bubenheim,1962-03-31,,"Munich,Germany",,,,
4681,Joost,van de Goor,1956-11-24,,"Tilburg,The Netherlands",,,,
4682,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
4683,David,van de Woestijne,,1979-05-18,,"Brussel,Belgium",,,
4684,Lex,van Delden <small>(Alexander Zwaap)</small>,1919-09-10,1988-07-01,"Amsterdam,The Netherlands","Amsterdam,The Netherlands",,,
4685,Gertrude,van den Bergh,1793-01-21,1840-09-10,The Netherlands,The Netherlands,,,
4686,Jo,van den Booren,1935-03-14,,"Maastricht,The Netherlands",,Played 40 years in The Brabant Orchestra (HBO) His daughter Borika plays violin in the concert-gebouw orchestra. His wife Zouza plays Cello in The Brabant Orchestra.,,
4687,Michel,van der Aa,1970-03-10,,The Netherlands,,,,
4688,Anthon,van der Horst,1899-06-20,1965-03-07,"Amsterdam,The Netherlands","Hilversum,The Netherlands",,,
4689,Frank,van der Stucken,1858-10-15,1929-08-16,"Fredricksburg,,USA","Hamburg,Germany",,,
4690,Niel,van der Watt,1962-12-28,,"Pretoria,South Africa",,,,
4691,Bernard,van Dieren,1887-12-27,1936-04-24,"Rotterdam,The Netherlands","London,England",,,
4692,Jan,van Dijk,,,"Oostzaan,The Netherlands",,,,
4693,Jacob,van Domselaer,,,"Nijkerk,The Netherlands","Bergen,The Netherlands",,,
4694,Jan,Willem van Dormolen,1956-05-13,,"Den,The Netherlands",,"Born in The Hague, raised in Oegstgeest. First studied physics, but after one and a half year switched to music. Studied clarinet, saxophone and composition in Utrecht. Now active as music teacher and as translator, editor and writer of software guides.",,
4695,Hans,van Eck,1958-08-16,,"Zwolle,The Netherlands",,,,
4696,Ruud,van Eeten,1973-06-04,,"Geleen,The Netherlands",,,,
4697,(Joncker),Jacob van Eyck,,1657-03-26,,"Utrecht,The Netherlands","The ""Joncker"" in his name refers to an old Dutch title, like ""mister"" in English.",,
4698,Hayne,van Ghizeghem,,,,,,,
4699,Jan,van Gilse,,,The Netherlands,The Netherlands,,,
4700,André,van Haren,1963-05-16,,"Zevenaar,The Netherlands",,,,
4701,Oscar,van Hemel,1892-08-03,1981-07-09,"Antwerpen,Belgium","Hilversum,The Netherlands",,,
4702,Geert,van Keulen,1943-10-11,,"Amsterdam,The Netherlands",,,,
4703,Bertus,van Lier,1906-09-10,1972-02-14,"Utrecht,The Netherlands","Roden,The Netherlands",,,
4704,Pieter,van Maldere,1729-10-16,1768-11-01,"Brussel,Belgium","Brussel,Belgium",,,
4705,Willem,Wander van Nieuwkerk,1955-02-19,,"Amsterdam,The Netherlands",,,,
4706,Maarten,van Norden,,,The Netherlands,,"Van Norden started his musical carier with the ""Willem Breuker Collectief"" playing the Saxophone. He studied with Louis Andriessen and from 1994 with Martin Bresnick at Yale University.",,
4707,Julius,Van Nuffel,1883-03-21,1953-06-25,"Hemiksem,,Belgium","Wilrijk,,Belgium",,,
4708,Willem,van Otterloo,1907-12-27,,"Winterswijk,The Netherlands","Melbourne,Australia",,,
4709,Marius,van Paassen,1952-11-13,,"Bunnik,The Netherlands",,"Marius van Paassen studied psychology in Amsterdam for two years. After that he started his study as a classical pianist in Amsterdam. After his solo exams (with distinction) he started to give concerts, making many recordings and CDs. The World Wildlife Fund used one of his CDs (The animal in 20th century piano music) in a campaign. After his debut in the Concertgebouw with Tchaikovsky’s piano concerto No. 1, he appeared many times with the orchestras in The Netherlands and abroad. In the late eighties Van Paassen started playing his own compositions on recitals. several broadcasters have recorded his piano pieces. A recording of the VPRO was released as a live-CD at Attacca: “The Amsterdam recital, a live registration”.",,
4710,Annelies,Van Parys,1975-06-05,,"Brugge,Belgium",,,,
4711,Catharina,van Rennes,1858-08-02,1940-11-23,"Utrecht,The Netherlands","Amsterdam,The Netherlands",,,
4712,Jan,Rokus van Roosendael <small>(de Groot)</small>,1960-05-06,2005-02-17,"Zwijndrecht,The Netherlands","Oostzaan,The Netherlands",,,
4713,Anne,van Schothorst,,,The Netherlands,,Anne van Schothorst is a harpist and composer.,,
